dimensi;y1;y2
1;56.4;56.5
1;59.8;60.9
1;67.7;63.6
1;60.8;63.9
1;67.8;69.9
1;70.2;73
1;74.8;79
1;79.1;83.3
1;80.1;83.8
1;71;72.8
1;74.6;75
1;73.2;72.7
1;83.6;84.3
1;82.2;79.4
1;81.2;83.1
1;68.9;72.5
1;84.6;83.6
1;80.7;81.7
1;66.2;71.6
1;68.8;72.1
1;65.2;66.7
1;79;81.7
1;74.7;77.4
1;71.7;74.7
1;80.5;80
1;69.4;75
1;73.1;76
1;60.3;63.5
1;79.6;80
1;64.6;68.6
1;51;52.1
1;58.8;61.1
1;58;59.2
1;40;46.2
2;81.7;81
2;68.1;70.6
2;90.8;92.8
2;84.2;86.9
2;82.9;84.3
2;84.3;85
2;84.7;86.7
2;88.3;92.6
2;66.7;77
2;67.1;69.9
2;78.3;81.6
2;92.3;90.1
2;96.2;97.4
2;97.8;98.1
2;82.2;84.5
2;79.1;81.4
2;78.1;80.8
2;89.6;94.9
2;90;91.4
2;84.3;85.5
2;71.6;72.5
2;84.3;82.1
2;84.1;90.4
2;84.6;86.2
2;66.6;68.1
2;78.5;80.8
2;84.4;84.4
2;74.1;76.7
2;64.7;67
2;83;94.2
2;69.4;72.5
2;76.1;76.1
2;72.4;70.4
2;81;81
3;82.4;83.2
3;85.4;86.5
3;75.7;76
3;86.1;86.7
3;78.3;80
3;78.9;81
3;70.3;73.6
3;76.9;82
3;83.8;82.8
3;89.8;91.2
3;96.4;96.4
3;82.4;82.4
3;88.7;88.4
3;96.5;96.4
3;88.3;88
3;87.4;88.2
3;95.7;96.2
3;87;88.5
3;76.8;79.4
3;77.3;78.6
3;73.6;75.4
3;75.8;78.9
3;87.3;87.8
3;85.8;83.3
3;87.9;88.3
3;79.6;82.3
3;89.9;91.4
3;87.4;88.8
3;84.9;86.6
3;74.9;79.2
3;83.4;85
3;81.4;82.9
3;79.1;79.8
3;51.5;52.9
4;85.7;88.5
4;88.8;89.5
4;90.2;90
4;84.7;82.3
4;84.8;84.6
4;83.7;88.6
4;87.1;85.6
4;79.7;82.9
4;84.4;81.6
4;89.9;87.1
4;97.6;96.8
4;93.5;92.6
4;80.3;79.4
4;83.5;83
4;85.7;84.8
4;96.5;95.3
4;95.2;93.3
4;95.4;95
4;78.1;80.3
4;66.8;67.3
4;83.2;85.2
4;95.5;95.4
4;86.3;79.1
4;79.8;78.8
4;92.5;88.5
4;85.2;82.3
4;83.1;86.8
4;83.2;81.4
4;82.8;75.3
4;84.7;82
4;40.8;50.6
4;40.9;51.9
4;61.5;59
4;47.5;37.7
5;32.5;36.3
5;27.2;25
5;33.2;30.6
5;28.5;26.3
5;36.6;34
5;29.2;26.9
5;31.6;29.5
5;39;36.1
5;37.6;35.5
5;33.6;31
5;47.9;43.8
5;39.4;36.7
5;55.8;52.6
5;75;72
5;62.5;59.3
5;33.8;30.6
5;35.9;35.3
5;47;47.2
5;36.4;36.2
5;25.2;24.1
5;41.4;39.8
5;50.8;48.7
5;31.9;28.9
5;38.8;36.1
5;36.5;33.8
5;43.8;41.2
5;35.3;32.7
5;38.5;36.3
5;53.9;55.8
5;47.1;48.2
5;38;35.4
5;42.1;43.1
5;29.4;27.4
5;12.7;11.7
6;72.8;72.6
6;47;45.2
6;52.3;51.5
6;44.7;43.8
6;36.9;35
6;44.7;45.3
6;52.2;53.3
6;56.4;58.4
6;42.6;44.9
6;47.9;44.3
6;47.4;48.6
6;47.7;48.8
6;58.3;60.8
6;68.3;72.3
6;52.9;54.9
6;46;45.8
6;49.6;51.2
6;68.6;55.6
6;61.2;61.6
6;42.3;46.8
6;40.3;40
6;50.7;49.1
6;49;47.6
6;54.5;55.8
6;57.9;57.4
6;54.3;53.4
6;57.2;61
6;57.4;62.7
6;69.1;68
6;63.3;68.2
6;50.2;48.9
6;44.1;45.3
6;49.5;51.1
6;47.1;49.2
