dimensi;2018;2019;2020;2021
1;54.8;56;56.4;56.5
1;55.7;57.5;59.8;60.9
1;63.7;67.8;67.7;63.6
1;58.5;58;60.8;63.9
1;69.6;67;67.8;69.9
1;68.9;68.1;70.2;73
1;72.2;71.7;74.8;79
1;80.2;78.7;79.1;83.3
1;83.6;78;80.1;83.8
1;78.7;69.3;71;72.8
1;79;74.6;75;75.2
1;75.1;71.5;73.2;72.7
1;84.2;83.7;83.6;84.3
1;87.1;83.9;82.2;79.4
1;82.3;80.9;81.2;83.1
1;69.7;66.1;68.9;72.5
1;90.8;84.6;83.6;85.4
1;78.9;80.7;81.7;79.8
1;60.9;64.4;66.2;71.6
1;66.5;67.9;68.8;72.1
1;59.6;64.1;65.2;66.7
1;78.3;76.2;79;81.7
1;80;73.5;74.7;77.4
1;75.2;70.9;71.7;74.7
1;75.6;78.6;80.5;80
1;64.5;68.6;69.4;75
1;69.9;70.1;73.1;76
1;51.4;59.3;60.3;63.5
1;76.5;79.1;79.6;80
1;62.4;65.8;64.6;68.6
1;39.6;47.5;51;52.1
1;50.4;56;58.8;61.1
1;49.8;55.9;58;59.2
1;36.1;39.9;40;46.2
2;59.3;79.3;81.7;81
2;52.2;68;68.1;70.6
2;76;84;90.8;92.8
2;65.6;80;84.2;86.9
2;81;80.8;82.9;84.3
2;65.6;81;84.3;85
2;69.8;79.3;84.7;86.7
2;68.7;82.4;88.3;92.6
2;61.5;57.2;66.7;77
2;64.3;63.7;67.1;69.9
2;65.2;78.3;81.6;84.2
2;69.4;81.6;92.3;90.1
2;77.4;88.9;96.2;97.4
2;82.4;92.9;97.8;98.1
2;64.4;78.9;82.2;84.5
2;61.5;76.6;79.1;81.4
2;56.2;78.1;80.8;80
2;87.9;89.6;94.9;100
2;77.4;88.3;90;91.4
2;72.5;81.2;84.3;85.5
2;69.5;71.5;71.6;72.5
2;62.5;81.1;84.3;82.1
2;67.7;83.5;84.1;90.4
2;66.7;83.4;84.6;86.2
2;55;62.4;66.6;68.1
2;64.5;74.3;78.5;80.8
2;71.7;82.6;84.4;84.4
2;59.8;72.2;74.1;76.7
2;56.2;67.9;64.7;67
2;85.1;88.7;83;94.2
2;54.9;71.7;69.4;72.5
2;73.3;77.5;76.1;76.1
2;58.7;75.5;72.4;70.4
2;65.9;83.8;81;81
3;76.2;79.5;82.4;83.2
3;82.4;84.9;85.4;86.5
3;71.5;72.7;75.7;76
3;83.9;83.7;86.1;86.7
3;74.5;76.3;78.3;80
3;76.3;77.5;78.9;81
3;66.5;66.8;70.3;73.6
3;70.7;76.3;76.9;82
3;80.6;81.9;83.8;82.8
3;86.4;88.8;89.8;91.2
3;93.4;96.4;96.4;97.5
3;78.6;81;82.4;82.4
3;85.3;87.1;88.7;88.4
