dimensi;2018;2019;2020;2021
kesehatan;54.8;56;56.4;56.5
kesehatan;55.7;57.5;59.8;60.9
kesehatan;63.7;67.8;67.7;63.6
kesehatan;58.5;58;60.8;63.9
kesehatan;69.6;67;67.8;69.9
kesehatan;68.9;68.1;70.2;73
kesehatan;72.2;71.7;74.8;79
kesehatan;80.2;78.7;79.1;83.3
kesehatan;83.6;78;80.1;83.8
kesehatan;78.7;69.3;71;72.8
kesehatan;79;74.6;75;75.2
kesehatan;75.1;71.5;73.2;72.7
kesehatan;84.2;83.7;83.6;84.3
kesehatan;87.1;83.9;82.2;79.4
kesehatan;82.3;80.9;81.2;83.1
kesehatan;69.7;66.1;68.9;72.5
kesehatan;90.8;84.6;83.6;85.4
kesehatan;78.9;80.7;81.7;79.8
kesehatan;60.9;64.4;66.2;71.6
kesehatan;66.5;67.9;68.8;72.1
kesehatan;59.6;64.1;65.2;66.7
kesehatan;78.3;76.2;79;81.7
kesehatan;80;73.5;74.7;77.4
kesehatan;75.2;70.9;71.7;74.7
kesehatan;75.6;78.6;80.5;80
kesehatan;64.5;68.6;69.4;75
kesehatan;69.9;70.1;73.1;76
kesehatan;51.4;59.3;60.3;63.5
kesehatan;76.5;79.1;79.6;80
kesehatan;62.4;65.8;64.6;68.6
kesehatan;39.6;47.5;51;52.1
kesehatan;50.4;56;58.8;61.1
kesehatan;49.8;55.9;58;59.2
kesehatan;36.1;39.9;40;46.2
gizi;59.3;79.3;81.7;81
gizi;52.2;68;68.1;70.6
gizi;76;84;90.8;92.8
gizi;65.6;80;84.2;86.9
gizi;81;80.8;82.9;84.3
gizi;65.6;81;84.3;85
gizi;69.8;79.3;84.7;86.7
gizi;68.7;82.4;88.3;92.6
gizi;61.5;57.2;66.7;77
gizi;64.3;63.7;67.1;69.9
gizi;65.2;78.3;81.6;84.2
gizi;69.4;81.6;92.3;90.1
gizi;77.4;88.9;96.2;97.4
gizi;82.4;92.9;97.8;98.1
gizi;64.4;78.9;82.2;84.5
gizi;61.5;76.6;79.1;81.4
gizi;56.2;78.1;80.8;80
gizi;87.9;89.6;94.9;100
gizi;77.4;88.3;90;91.4
gizi;72.5;81.2;84.3;85.5
gizi;69.5;71.5;71.6;72.5
gizi;62.5;81.1;84.3;82.1
gizi;67.7;83.5;84.1;90.4
gizi;66.7;83.4;84.6;86.2
gizi;55;62.4;66.6;68.1
gizi;64.5;74.3;78.5;80.8
gizi;71.7;82.6;84.4;84.4
gizi;59.8;72.2;74.1;76.7
gizi;56.2;67.9;64.7;67
gizi;85.1;88.7;83;94.2
gizi;54.9;71.7;69.4;72.5
gizi;73.3;77.5;76.1;76.1
gizi;58.7;75.5;72.4;70.4
gizi;65.9;83.8;81;81
perlindungan sosial;95.7;88.9;72.8;72.6
perlindungan sosial;57.8;51.2;47;45.2
perlindungan sosial;60.8;56.9;52.3;51.5
perlindungan sosial;52.4;48.5;44.7;43.8
perlindungan sosial;53.6;46.6;36.9;35
perlindungan sosial;72.3;51.9;44.7;45.3
perlindungan sosial;63;55.2;52.2;53.3
perlindungan sosial;68.4;60.5;56.4;58.4
perlindungan sosial;47.6;43.3;42.6;44.9
perlindungan sosial;44.7;44;47.9;44.3
perlindungan sosial;46.9;47.4;48.6;51.6
perlindungan sosial;68.3;49.7;47.7;48.8
perlindungan sosial;73.9;58.8;58.3;60.8
perlindungan sosial;80.5;69.3;68.3;72.3
perlindungan sosial;66.6;51.3;52.9;54.9
perlindungan sosial;62.8;56.9;46;45.8
perlindungan sosial;49;49.6;51.2;54.1
perlindungan sosial;75.4;68.6;55.6;56.5
perlindungan sosial;72.9;71.7;61.2;61.6
perlindungan sosial;48.5;48.1;42.3;46.8
perlindungan sosial;44.6;37.2;40.3;40
perlindungan sosial;56.7;57.4;50.7;49.1
perlindungan sosial;51.7;48.6;49;47.6
perlindungan sosial;58.5;57.7;54.5;55.8
perlindungan sosial;69.2;64.1;57.9;57.4
perlindungan sosial;68.2;65.2;54.3;53.4
perlindungan sosial;66.9;62;57.2;61
perlindungan sosial;70.5;63.5;57.4;62.7
perlindungan sosial;77.9;69.2;69.1;68
perlindungan sosial;83.9;78.2;63.3;68.2
perlindungan sosial;75.1;63.9;50.2;48.9
perlindungan sosial;63;54.3;44.1;45.3
perlindungan sosial;71.9;73.7;49.5;51.1
perlindungan sosial;76.7;67.4;47.1;49.2
